entradas,fechaContador,RealValue,Evaluar,fechaRegistro,ContadorAuxiliar
560256,02/03/25 06:30,1651768,99999,02/03/25 07:28,0
560263,02/03/25 06:31,1651775,99999,02/03/25 07:28,0
560273,02/03/25 06:32,1651785,99999,02/03/25 07:31,0
560273,02/03/25 06:33,1651785,99999,02/03/25 07:31,0
560273,02/03/25 06:34,1651785,99999,02/03/25 07:31,0
560274,02/03/25 06:35,1651786,99999,02/03/25 07:34,0
560274,02/03/25 06:36,1651786,99999,02/03/25 07:34,0
560274,02/03/25 06:37,1651786,99999,02/03/25 07:34,0
560274,02/03/25 06:38,1651786,99999,02/03/25 07:37,0
560274,02/03/25 06:39,1651786,99999,02/03/25 07:37,0
560274,02/03/25 06:40,1651786,99999,02/03/25 07:37,0
560292,02/03/25 06:41,1651804,99999,02/03/25 07:40,0
560293,02/03/25 06:42,1651805,99999,02/03/25 07:40,0
560293,02/03/25 06:43,1651805,99999,02/03/25 07:40,0
560293,02/03/25 06:44,1651805,99999,02/03/25 07:43,0
560293,02/03/25 06:45,1651805,99999,02/03/25 07:43,0
560293,02/03/25 06:46,1651805,99999,02/03/25 07:43,0
0,02/03/25 06:47,1091512,0,02/03/25 07:46,0
0,02/03/25 06:48,1091512,99999,02/03/25 07:46,0
560248,02/03/25 06:49,1651760,99999,02/03/25 07:46,0
560248,02/03/25 06:50,1651760,99999,02/03/25 07:49,0
560248,02/03/25 06:51,1651760,99999,02/03/25 07:49,0
560248,02/03/25 06:51,1651760,99999,02/03/25 07:49,0
560248,02/03/25 06:52,1651760,99999,02/03/25 07:49,0
560248,02/03/25 06:53,1651760,99999,02/03/25 07:52,0
560249,02/03/25 06:54,1651761,99999,02/03/25 07:52,0
560249,02/03/25 06:55,1651761,99999,02/03/25 07:52,0
560260,02/03/25 06:56,1651772,99999,02/03/25 07:55,0
560261,02/03/25 06:58,1651773,99999,02/03/25 07:55,0
560261,02/03/25 07:00,1651773,99999,02/03/25 07:58,0
560261,02/03/25 07:01,1651773,99999,02/03/25 07:58,0
560261,02/03/25 07:03,1651773,99999,02/03/25 08:01,0
560261,02/03/25 07:04,1651773,99999,02/03/25 08:01,0
560274,02/03/25 07:05,1651786,99999,02/03/25 08:04,0
560274,02/03/25 07:06,1651786,99999,02/03/25 08:04,0
560274,02/03/25 07:07,1651786,99999,02/03/25 08:04,0
560274,02/03/25 07:08,1651786,99999,02/03/25 08:07,0
560274,02/03/25 07:09,1651786,99999,02/03/25 08:07,0
560274,02/03/25 07:10,1651786,99999,02/03/25 08:07,0
560274,02/03/25 07:11,1651786,99999,02/03/25 08:10,0
560274,02/03/25 07:12,1651786,99999,02/03/25 08:10,0
